"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"22.05.2023","14,06","13,96","14,10","13,84","270,14K","1,08%"
"18.05.2023","13,91","14,48","14,55","13,90","456,16K","-3,74%"
"17.05.2023","14,45","14,16","14,47","14,00","691,75K","2,05%"
"16.05.2023","14,16","13,83","14,26","13,83","443,17K","2,39%"
"15.05.2023","13,83","13,10","14,29","13,08","220,45K","-0,50%"
"12.05.2023","13,90","14,20","14,38","13,73","374,54K","-1,84%"
"11.05.2023","14,16","13,85","14,81","13,68","438,06K","2,53%"
"10.05.2023","13,81","14,47","14,53","13,77","398,20K","-4,56%"
"09.05.2023","14,47","14,60","14,86","14,34","295,29K","-1,36%"
"08.05.2023","14,67","14,41","14,76","14,21","252,99K","1,38%"
"05.05.2023","14,47","14,60","14,81","14,21","376,36K","-0,89%"
"04.05.2023","14,60","14,34","15,26","14,24","852,00K","1,46%"
"03.05.2023","14,39","15,43","15,43","13,92","826,24K","-6,74%"
"02.05.2023","15,43","16,71","16,80","15,25","794,62K","-7,55%"
"28.04.2023","16,69","16,72","17,02","16,35","590,31K","-0,36%"
"27.04.2023","16,75","16,97","17,19","16,56","647,48K","-1,30%"
"26.04.2023","16,97","16,98","17,18","16,66","1,12M","-0,59%"
"25.04.2023","17,07","16,53","17,28","16,30","1,71M","4,02%"
"24.04.2023","16,41","16,68","16,70","16,36","502,82K","-1,62%"
"20.04.2023","16,68","16,70","16,78","16,58","165,42K","-0,06%"
"19.04.2023","16,69","16,45","16,77","16,30","700,87K","1,46%"
"18.04.2023","16,45","16,39","16,70","16,37","407,62K","0,37%"
"17.04.2023","16,39","16,66","16,69","16,15","563,20K","-1,27%"
"14.04.2023","16,60","17,00","17,21","16,48","787,55K","-2,35%"
"13.04.2023","17,00","16,51","17,76","16,46","2,26M","2,97%"
"12.04.2023","16,51","16,60","16,75","16,33","706,74K","0,24%"
"11.04.2023","16,47","16,29","16,52","16,10","822,75K","1,48%"
"10.04.2023","16,23","16,04","16,58","16,04","572,67K","0,62%"
"07.04.2023","16,13","15,93","16,35","15,77","619,37K","1,51%"
"06.04.2023","15,89","15,77","16,19","15,75","466,02K","0,82%"
"05.04.2023","15,76","15,80","16,02","15,72","340,08K","-0,25%"
"04.04.2023","15,80","15,92","16,13","15,69","399,02K","-0,75%"
"03.04.2023","15,92","16,46","16,70","15,79","601,56K","-3,28%"
"31.03.2023","16,46","16,55","16,87","16,29","521,48K","-1,61%"
"30.03.2023","16,73","16,40","17,42","16,24","1,95M","2,26%"
"29.03.2023","16,36","16,40","16,65","16,00","416,75K","-0,24%"
"28.03.2023","16,40","17,35","17,36","16,30","432,82K","-5,26%"
"27.03.2023","17,31","16,91","17,43","16,89","517,62K","2,61%"
"24.03.2023","16,87","16,89","17,14","16,75","292,18K","-0,12%"
"23.03.2023","16,89","16,85","17,12","16,73","551,60K","0,18%"
"22.03.2023","16,86","16,77","18,35","16,77","1,45M","0,66%"
"21.03.2023","16,75","16,69","16,99","16,22","352,54K","0,36%"
"20.03.2023","16,69","17,59","17,59","16,69","607,11K","-5,12%"
"17.03.2023","17,59","17,71","17,98","17,27","421,94K","-0,62%"
"16.03.2023","17,70","17,23","17,98","17,15","409,60K","2,73%"
"15.03.2023","17,23","17,60","18,14","16,80","448,16K","-3,96%"
"14.03.2023","17,94","18,01","18,78","17,63","524,16K","-1,43%"
"13.03.2023","18,20","18,58","18,80","18,00","594,72K","-2,41%"
"10.03.2023","18,65","18,98","18,98","18,34","364,71K","-1,84%"
"09.03.2023","19,00","18,20","19,00","18,15","584,33K","4,68%"
"08.03.2023","18,15","17,62","18,60","17,50","1,09M","1,62%"
"07.03.2023","17,86","17,60","18,18","17,59","710,42K","1,48%"
"06.03.2023","17,60","17,24","17,79","17,20","699,62K","2,09%"
"03.03.2023","17,24","17,60","17,72","16,72","354,23K","-1,99%"
"02.03.2023","17,59","17,67","18,19","17,30","631,98K","-0,11%"
"01.03.2023","17,61","17,86","18,17","16,99","760,46K","-0,96%"
"28.02.2023","17,78","17,24","17,84","17,20","470,57K","3,25%"
"27.02.2023","17,22","16,93","17,95","16,79","607,23K","1,71%"
"24.02.2023","16,93","16,94","17,11","16,78","427,68K","-0,29%"
"23.02.2023","16,98","16,58","17,20","16,58","425,06K","1,68%"
"22.02.2023","16,70","16,90","17,08","16,53","269,10K","-2,51%"
"21.02.2023","17,13","17,09","17,40","16,75","332,43K","0,06%"
"20.02.2023","17,12","16,90","17,40","16,60","482,43K","3,32%"
"17.02.2023","16,57","16,00","17,20","15,26","443,67K","3,30%"
"16.02.2023","16,04","17,48","18,35","16,01","502,14K","-7,39%"
"15.02.2023","17,32","15,80","17,32","15,75","350,39K","20,28%"
"08.02.2023","14,40","14,70","15,20","14,40","75,75K","-8,57%"
"07.02.2023","15,75","17,42","17,42","15,75","482,20K","-10,00%"
"06.02.2023","17,50","17,90","17,98","17,04","166,23K","-4,32%"
"03.02.2023","18,29","17,33","18,40","17,15","503,04K","5,84%"
"02.02.2023","17,28","17,70","18,03","16,68","779,12K","-2,37%"
"01.02.2023","17,70","18,60","18,90","17,68","479,77K","-5,75%"
"31.01.2023","18,78","19,57","19,64","18,60","615,38K","-4,04%"
"30.01.2023","19,57","20,12","20,24","19,40","731,99K","-2,73%"
"27.01.2023","20,12","20,68","20,90","19,68","598,23K","-2,90%"
"26.01.2023","20,72","20,56","21,08","20,10","535,57K","0,97%"
"25.01.2023","20,52","21,14","21,40","20,06","748,08K","-2,75%"
"24.01.2023","21,10","21,70","21,78","20,64","666,04K","-2,31%"
"23.01.2023","21,60","22,16","22,70","21,40","1,33M","-2,44%"
"20.01.2023","22,14","22,10","22,38","21,00","796,35K","-0,18%"
"19.01.2023","22,18","22,32","22,90","21,86","736,98K","-0,63%"
"18.01.2023","22,32","22,00","22,44","21,64","853,83K","1,45%"
"17.01.2023","22,00","21,68","22,34","21,50","845,00K","1,48%"
"16.01.2023","21,68","20,88","21,94","20,70","928,59K","4,23%"
"13.01.2023","20,80","20,76","21,30","20,40","711,43K","0,19%"
"12.01.2023","20,76","20,00","21,20","19,27","821,84K","5,33%"
"11.01.2023","19,71","21,22","21,70","19,70","532,44K","-6,94%"
"10.01.2023","21,18","22,30","22,52","21,18","492,42K","-4,85%"
"09.01.2023","22,26","22,00","23,40","21,54","1,26M","2,20%"
"06.01.2023","21,78","20,00","22,06","19,00","1,03M","8,57%"
"05.01.2023","20,06","22,32","22,60","20,06","1,14M","-9,88%"
"04.01.2023","22,26","22,96","23,46","21,96","1,28M","-2,28%"
"03.01.2023","22,78","23,74","23,82","22,56","1,16M","-4,04%"
"02.01.2023","23,74","23,90","24,26","23,62","780,80K","-0,67%"
"30.12.2022","23,90","23,92","24,22","23,62","509,01K","0,42%"
"29.12.2022","23,80","23,46","24,38","23,10","806,02K","1,80%"
"28.12.2022","23,38","24,20","24,80","22,60","1,30M","-3,71%"
"27.12.2022","24,28","26,62","26,64","23,88","1,60M","-8,45%"
"26.12.2022","26,52","26,86","27,22","26,40","1,18M","-0,38%"
"23.12.2022","26,62","27,58","27,58","26,50","1,07M","-3,13%"
"22.12.2022","27,48","27,86","28,24","27,12","1,23M","-1,01%"
"21.12.2022","27,76","27,70","28,22","27,36","1,18M","1,09%"
"20.12.2022","27,46","27,30","28,28","27,00","946,13K","0,37%"
"19.12.2022","27,36","27,90","28,06","27,30","602,96K","-1,58%"
"16.12.2022","27,80","27,60","28,06","27,16","840,74K","1,46%"
"15.12.2022","27,40","27,50","28,00","26,54","920,31K","1,03%"
"14.12.2022","27,12","28,54","28,62","27,12","1,42M","-5,31%"
"13.12.2022","28,64","29,46","29,56","28,10","1,33M","-2,78%"
"12.12.2022","29,46","30,38","30,80","29,36","1,83M","1,59%"
"09.12.2022","29,00","28,06","29,14","27,02","1,95M","4,17%"
"08.12.2022","27,84","28,04","28,40","26,40","1,34M","-0,57%"
"07.12.2022","28,00","29,10","31,28","27,66","3,37M","-3,11%"
"06.12.2022","28,90","26,88","28,92","26,42","2,64M","7,51%"
"05.12.2022","26,88","27,58","27,70","26,52","1,51M","-2,61%"
"02.12.2022","27,60","28,30","28,74","27,44","1,41M","-2,40%"
"01.12.2022","28,28","28,40","29,38","28,10","1,62M","0,07%"
"30.11.2022","28,26","28,60","28,76","27,50","1,07M","-1,19%"
